Nome,Mesa,Temas,,Produtos,,Link Catálogo
Marina Fráguas,A05,"Arcane, Capivara, Agatha Desde Sempre, Dungeon Meshi, Studio Ghibli, Stranger Things, Heartstopper, Legend of Zelda, LGBTQIAP+, Taylor Swift",,"Amigurumi, chaveiros, cartela de adesivos, pins metálicos, buttons, porta copos, estatueta, brincos, ecobag, prints, livros",,https://bsky.app/profile/marinafraguasart.bsky.social/post/3lbrvoirq6s2t
Banana Misa,A05,"Studio Ghibli, Sylvanian Families, Legend of Zelda, Taylor Swift, Frieren, Dungeon Meshi, Witch Hat Atelier, Avatar, Sanrio, Garotas Mágicas, One Piece, originais",,"Chaveiros de acrílico, chaveiros em MDF, cartelas de adesivos, pin metálico, pins de acrílico, pin em MDF, buttons, livros, prints",,https://bsky.app/profile/bananamisa.bsky.social/post/3lbsf37wfuc2p
Natalia Prata,A07,"Bichinhos fofos, Sylvanian Families, Studio Ghibli, Pokemon, Stardew Valley, Digimon, Sanrio, Dungeon Meshi, Nostalgia ",,"Cartelas de adesivos, buttons, imãs, espelho de bolso, pins em MDF, pin de metal, chaveiros, enfeite de Natal, washi tape, livro, cadernos, adesivos avulsos",,https://bsky.app/profile/nyatche.bsky.social/post/3lba2m3lhvc2v
Ren Nolasco,A08,"IWTV, Dungeon Meshi, A24, LOTR, Terror, Miyazaki, Junji Ito, Fanfic, Good Omens, Doctor Who, Animais da Caatinga",,"Cartelas de adesivos, planner, prints, pins, buttons, canecas, bandeiras, chaveiros em MDF, washi tape, bolsa, porta copo e zines",,https://bsky.app/profile/rennolasco.bsky.social/post/3lba6audem22p
Isadora Zeferino,A09-10,"Disney, Wicked, Our Flag Means Death, Wicked, She-Ra, Good Omens, Sailor Moon, Studio Ghibli, LGBTQIAP+, Gravity Falls, Arcane, Over the Garden Wall, Owl House, Fanfic, Chappell Roan, originais",,"Prints, pins metálicos, ecobags, cartelas de adesivos, quadrinho",,https://bsky.app/profile/imzeferino.bsky.social/post/3lc2a4tp3os2el
Monge Han,A23,"Disney, Wicked, Our Flag Means Death, Wicked, She-Ra, Good Omens, Sailor Moon, Studio Ghibli, LGBTQIAP+, Gravity Falls, Arcane, Over the Garden Wall, Owl House, Fanfic, Chappell Roan, originais",,"Bonés, quadrinho, prints, pins metálicos, cartela de adesivos ",,https://bsky.app/profile/mongehan.bsky.social/post/3lbzdwyzv6k2i
Kunogi,A27,"One Piece, Chobits, Vocaloid, Genshin Impact, Banana Fish, Pétalas de Akayama, LGBTQIAP+, Pokemon, Haruhi Suzumiya, Lucky Star, XXXHolic, originais",,"Prints, photocards, postais, cartelas de adesivos, chaveiros de acrílico, chaveiros lanyard, adesivos avulsos, buttons, pins em MDF, pins metálicos, espelho de bolso, quadrinho, zine, estojo, brincos e mini stands de acrílico",,https://bsky.app/profile/kunogi.bsky.social/post/3lba7uqgrt22q
Shan,A27,"Hades, SK8, RanWan, Pétalas de Akayama, Pokemon, One Piece, Jujutsu Kaisen, Yakuza, Jojo",,"Prints, chaveiros de acrílico, marca páginas, photocards",,https://bsky.app/profile/shanblackrx.art.br/post/3lbugpaf4e22a
Dani (kukkiia),A37,"Bichinhos fofinhos, Garfield. Studio Ghibli, Sonic, LGBTQIAP+, Kirby, The Owl House , originais",,"Adesivos avulsos, cartelas de adesivos, bolsa, camiseta, ecobags, chaveiros de acrílico, cadernos, mousepads, patches, pins metálicos, pins de acrílico, quadrinhos, buttons",,https://bsky.app/profile/kukkiia.bsky.social/post/3lc3t3dr4qs2o
4NJU,B08,"LGBTQIAP+, Genshin Impact, League of Legends, Dungeon Meshi, Owl House, Arcane, Honkai Star Rail, She-Ra , Sanrio, Pokemon, Sonic, Fanfic, Mouthwashing, Fallout, Valorant, Overwatch, Digital Circus, Stranger Things, Resident Evil, Bayonetta, Jojo, Swan Queen",,"Quadrinhos, zine, buttons, chaveiros, pins em MDF, ecobag, cartelas de adesivos, adesivos avulsos, prints",,https://bsky.app/profile/4nju.bsky.social/post/3lbztrmyi5k2z
Hayde e Inko,B18,"Arcane, One Piece, Dungeon Meshi, Calopsitas, Pokémon, YuGiOh/Sanrio, Genshin Impact, Quadrinhos Originais, DanDaDan, RPG",,"Chaveiros de Acrílico, Chaveiro Shaker, Standee em acrílico, Standee Shaker, Adesivos Holográficos, Bottons, Quadrinhos, Bloco de Notas, Mistery Bags",,https://bsky.app/profile/hayde.bsky.social/post/3lcdmx4mj2k2d
Ferrante,B24,"Marvel, DC, Arcane, Terror, Tartarugas Ninja, originais",,"Jogo de cartas, prints, cartela de adesivos, gibis",,https://bsky.app/profile/ferranteartes.bsky.social/post/3lbi72oirq22t
Joninha,B26,"Dungeon Meshi, Doctor Who, DC, Bela e a Fera, Olimpíadas, Wicked, Terror, Barbie, Tapas & Beijos",,"Prints, jogo de cartas, quadrinho, cartelas de adesivos, adesivos avulsos, pins metálicos, buttons, zine",,https://bsky.app/profile/joninhaart.bsky.social/post/3lbzlp6bxxc23
Kaol Porfírio,C04,"Doctor Who, Studio Ghibli, Dungeon Meshi, Animal Crossing, RPG, Nana, Pokemon, Digimon, Sailor Moon, Legend of Zelda, Dandadan, Frieren, Mob Psycho 100, LOTR",,"Pins de metal, bolsas, porta passaporte, mousepad, niqueleiras, carteiras, bandeira para pins, prendedor de cabelo, cachecol, chaveiros, cordão para crachá, patchs, avental, caderno, prints, bloco de notas, wahitapes, cartelas de adesivos",,https://bsky.app/profile/kaolporfirio.com.br/post/3lbxokt2d5s22
Paula Zatonelli,C24,"Originais, Pokemon, Dungeon Meshi, Final Fantasy, Yu Yu Hakusho, Trigun, Sailor Moon, Ooblets, Zelda",,"Quadrinho, livros, chaveiro tecladinho, Pin metálico, washitape, print, adesivos avulsos, cartelas de adesivos, imãs, originais em aquarela / copic",,https://bsky.app/profile/paulazanotelli.bsky.social/post/3laqrrkeu4c2d
Vagalumie,C36,"Sylvanian Families, Witch Hat Atelier, Studio Ghibli, Legend of Zelda, Animal Crossing, originais, Hora de Aventura, She-Ra",,"Cartelas de adesivos, buttons, chaveiros de acrílico, adesivos avulsos, ecobag e zine",,https://bsky.app/profile/vagalumie.bsky.social/post/3lbuyyg54d22m
Priscilla Tramontano,F10,"Baldur's Gate 3, Legend of Zelda, One Piece, Studio Ghibli, Evangelion, Sonic, Terror, Dandadan, Elden Ring, Rick and Morty, Cult of the Lamb, Godzilla, Diablo, Silent Hill, Arcane, Tartarugas Ninja, Família Addams, Resident Evil, Stranger Things, Transformers, IT",,"Cartelas de adesivos, pins metálicos, chaveiros de acrílico, adesivos avulsos, prints, quadrinhos  ",,https://bsky.app/profile/prips.bsky.social/post/3lbuqdgbhnc23
Mario César (masquemario),L19-20,"LGBTQIAP+, Agatha Desde Sempre, Humor",,"Quadrinhos, prints, cartela de adesivos, ecobag, adesivos avulsos, chabeiro, button, imã",,https://bsky.app/profile/masquemario.bsky.social/post/3lbxb7zvdgc2s
