,Produtos
0, a3)
1, a4
2, adesivos
3, adesivos (avulsos
4, adesivos avulsos
5, adesivos holográficos
6, adesivos unitarios
7, adesivos unitários
8, adesivos. 
9, avental
10, bandanas e canecas
11, bandeira para pins
12, bandeiras
13, bloco de notas
14, bloquinhos de nota e prints 
15, bolsa
16, bolsas
17, botons
18, botton
19, botton e quebra cabeça
20, bottons
21, brincos
22, brincos e mini stands de acrílico
23, button
24, buttons
25, cachecol
26, caderno
27, cadernos
28, cadernos 
29, camiseta
30, canecas
31, cartas pif paf pow e taazos.
32, carteiras
33, cartela de adesivo
34, cartela de adesivos
35, cartela de adesivos 
36, cartelas de adesivos
37, cartões postais
38, chabeiro
39, chaveiro shaker
40, chaveiro tecladinho
41, chaveiros
42, chaveiros de acrílico
43, chaveiros em mdf
44, chaveiros lanyard
45, commissions e blank covers
46, cordão para crachá
47, ecobag
48, ecobag e zine
49, ecobags
50, em kit e em cartela)
51, enfeite de natal
52, espelho de bolso
53, estatueta
54, estojo
55, gacha
56, gibis
57, imã
58, imã de geladeira
59, imãs
60, jogo de cartas
61, livro
62, livros
63, livros ilustrados
64, livros infantis
65, lápis
66, marca páginas
67, marcador de página
68, mistery bags
69, mousepad
70, mousepads
71, niqueleiras
72, originais e encomendas.
73, originais em aquarela / copic
74, pasta para guardar prints
75, patches
76, patches bordados
77, patchs
78, photocards
79, pin
80, pin de metal
81, pin em mdf
82, pin metálico
83, pingentes de celular
84, pins
85, pins de acrílico
86, pins em mdf
87, pins metálicos
88, planner
89, planners
90, porta copo e zines
91, porta copos
92, porta passaporte
93, porta-copos
94, postais
95, postais e bottons
96, posters
97, prendedor de cabelo
98, print
99, prints
100, prints a3
101, prints a4
102, prints e chaveiros.
103, prints exclusivos
104, prints quadrados
105, páginas originais da dc comics
106, quadrinho
107, quadrinhos
108, quadrinhos  
109, quadrinhos (gibi e livro)
110, skechbooks
111, sketchbooks
112, standee em acrílico
113, standee shaker
114, stickers
115, tirinhas
116, wahitapes
117, washi tape
118, washitape
119, zine
120, zines
121, ímã
122,adesivos
123,adesivos avulsos
124,amigurumi
125,bonés
126,camiseta
127,cartelas de adesivos
128,chaveiros de acrílico
129,jogo de cartas
130,pins de metal
131,prints
132,prints (a5
133,quadrinho
134,quadrinhos
135,zines
