,Temas
0, 
1,  ahegao
2,  otakus originais
3, a24
4, adaptações literárias
5, agatha desde sempre
6, alice no país das maravilhas
7, animais da caatinga
8, animal crossing
9, arcane
10, arte vetorial kawaii
11, artes com macacos e sobre o cotidiano
12, artes originais
13, autoral
14, avatar
15, avatar aang
16, aventura
17, banana fish
18, barbie
19, batman
20, bayonetta
21, bela e a fera
22, bichos fofinhos
23, brasilidades e coisas fofas
24, brooklyn 99
25, calopsitas
26, capivara
27, caveiras engraçadas
28, chappell roan
29, chibi e furry
30, chobits
31, coisinhas de fantasia
32, coragem
33, cotidiano
34, cotidiano e humor
35, cult of the lamb
36, dandadan
37, dc
38, diablo
39, digimon
40, digital circus
41, doctor who
42, dungeon meshi
43, dungeons & dragons e rpgs de mesa
44, e meus autorais.
45, elden ring
46, ensino
47, esporte
48, evangelion
49, fallout
50, família addams
51, fanarts de one piece
52, fanfic
53, fantasia
54, final fantasy
55, fnaf
56, fnaf - five nights at freddy's
57, folclore
58, frieren
59, garfield. studio ghibli
60, garotas mágicas
61, gatinhos. totoro
62, genshin impact
63, ghibli
64, godzilla
65, good omens
66, gorillaz.
67, gravity falls
68, haruhi suzumiya
69, he-man
70, heartstopper
71, histórias em quadrinhos autorais babadeiras
72, hollow knight
73, honkai star rail
74, hora de aventura
75, humor
76, it
77, itens autorais
78, jojo
79, jujutsu kaisen
80, junji ito
81, kirby
82, laboratório de dexter
83, league of legends
84, legend of zelda
85, lgbtqiap+
86, lgbts sempre. 
87, literatura infantojuvenil e quadrinhos autorais
88, lotr
89, lucky star
90, madoka magica
91, mansão foster
92, mario
93, mcr - my chemical romance
94, memes e quadrinhos autorais
95, miyazaki
96, mob psycho 100
97, monstros s.a.
98, mouthwashing
99, my little pony
100, nana
101, nitw - night in the woods
102, nostalgia
103, nostalgia 
104, olimpíadas
105, one piece
106, one piece (nico robin stan)
107, ooblets
108, originais
109, original
110, orixás
111, our flag means death
112, over the garden wall
113, overwatch
114, owl house
115, paródias de marcas famosas e personagens originais
116, peach
117, pokemon
118, pokémon
119, pétalas de akayama
120, quadrinhos originais
121, ranwan
122, ratatouille
123, realismo fantástico
124, resident evil
125, rick & morty
126, rick and morty
127, rpg
128, sailor moon
129, samus
130, sanrio
131, she-ra
132, she-ra 
133, sher-ra
134, silent hill
135, sk8
136, sonic
137, space jam
138, stardew valley
139, steven universe
140, steven universo
141, stitch
142, stranger things
143, studio ghibli
144, super mario
145, swan queen
146, sylvanian families
147, tapas & beijos
148, tartarugas ninja
149, taylor swift
150, terror
151, terror fofinho
152, the office
153, the owl house 
154, transformers
155, trigun
156, valorant
157, vingadores
158, vocaloid
159, vovó juju
160, wicked
161, witch hat atelier
162, xxxholic
163, yakuza
164, yu yu hakusho
165, yugioh
166, yugioh/sanrio
167, zelda
168,a mesa dos gatinhos! prints de gatinhos de tudo que é jeito (signos / bandeiras lgbtqia+ / obras de arte / super heróis)
169,arcane
170,baldur's gate 3
171,basicamente gatos
172,bichinhos fofinhos
173,bichinhos fofos
174,cartoon
175,cartoon network - meninas super poderosas
176,dc comics
177,disney
178,doctor who
179,dungeon meshi
180,hades
181,hora de aventura
182,iwtv
183,lgbtqiap+
184,marvel
185,memes
186,monstrinhos
187,one piece
188,originais
189,stephen king
190,studio ghibli
191,sylvanian families
192,terror
193,urban sketching
